dt,Nt,cpu_time_seconds,RE_M_max,RE_E_max,error_h,observed_order
0.001,1000,1.0599136669188738,3.3459435248995857e-13,5.863624976223567e-08,4.665332911099346e-07,
0.0005,2000,2.035623708041385,7.193707899541188e-13,1.4660133505395426e-08,1.1107531912251617e-07,2.0704417470288026
0.00025,4000,3.9745192090049386,1.6280199229517755e-12,3.6674298884117584e-09,2.2212369655329717e-08,2.322103070761784
0.000125,8000,8.06326829106547,3.4870187947707216e-12,9.220197510537699e-10,0.0,
