case,Nx,Ny,dt,Nt,cpu_time_seconds,u_L2_error,u_L2_relative_error,u_phase_aligned_L2_error,u_phase_aligned_L2_relative_error,abs_u_L2_error,abs_u_L2_relative_error,abs_u_Linf_error,Q_L2_error,Q_L2_relative_error,Q_Linf_error,boundary_max,tail_ratio,observed_spatial_rate
x_stripe,32,32,0.00025,4000,0.5611134581267834,1.6824887127673538,0.1885811947400526,1.400795119962145,0.15700766091559737,0.9947793057831165,0.11149951174335168,0.09362232622135502,1.5522300153538495,0.2254281639199096,0.18196783880612233,1.01862977812711,0.024731846311838914,
x_stripe,64,64,0.00025,4000,1.2413917921949178,0.011332692087336891,0.0012670370301934295,0.011288698706425066,0.0012621184069511221,0.008534831470553894,0.000954225830571669,0.0011606151935270592,0.008450192956495075,0.0012031800494688085,0.0014770686618527096,0.9748960657102129,5.4740338509468646e-05,6.958843879797446
x_stripe,128,128,0.00025,4000,4.048591209109873,7.341001672796923e-07,8.207489381658661e-08,6.774027997507417e-07,7.573593541958403e-08,5.486760937647364e-07,6.134385216436391e-08,6.908840666230986e-08,6.942154096808059e-07,9.883801603344758e-08,1.3475151483532954e-07,0.996184077507142,1.8566844194365445e-09,14.024509741999651
x_stripe,256,256,0.00025,4000,18.438278750050813,3.3170237186857666e-07,3.708545258980256e-08,1.7163791439423642e-07,1.918970220509011e-08,1.331333706847846e-07,1.4884763346242804e-08,1.1964031765288041e-08,1.4934372471158472e-07,2.1262618563819107e-08,2.1609585676429788e-08,0.9976413532392374,1.4150072101246406e-18,1.9806456737623934
y_stripe,32,32,0.00025,4000,0.5626135000493377,1.657123389830116,0.18469139721201658,1.177926961904828,0.13128351077719774,0.8880894330176107,0.09898024446451466,0.07539113547530063,1.2773838515980016,0.1775917965208526,0.15144840825957417,1.0547470745281446,0.032878786454800246,
y_stripe,64,64,0.00025,4000,1.2175124159548432,0.011169605634374967,0.0012488022022412665,0.010271372494879222,0.0011483764970331755,0.008241067123908662,0.0009213810326017953,0.0007497495013139011,0.011476451061672584,0.0016340308075865069,0.0014705629790077168,0.9810777471460393,4.8737644064422113e-05,6.836946205340258
y_stripe,128,128,0.00025,4000,4.143453165888786,6.808334476755724e-07,7.611949351796521e-08,6.193163988527187e-07,6.924167837080617e-08,5.25079236139126e-07,5.8705643279082935e-08,5.570800831744549e-08,6.14971712250894e-07,8.755579768414705e-08,1.0922427418069702e-07,0.9937050805778995,1.618078070426854e-09,14.017595488764393
y_stripe,256,256,0.00025,4000,18.384768082993105,3.3087735981805924e-07,3.699321343844189e-08,1.7004018176171637e-07,1.9011070266280887e-08,1.334119147048437e-07,1.4915905514421716e-08,1.2026630469286204e-08,1.4937051668438985e-07,2.1266433036100603e-08,2.1757209700545843e-08,0.9990437205246911,1.2538701793108678e-18,1.8648009413870665
