label,Nx,Ny,R_lw,Z_lw,H_defect,res_w,res_v
baseline,128,128,4.023455934711499e-16,0.0,1.2136578155660472e-13,1.2121546604953945e-16,1.3082640463252185e-16
refined_x2,256,256,4.023455934711499e-16,0.0,3.438382436501907e-13,1.2944558024362396e-16,1.3428164885638818e-16
