n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
200,0.2,25.132741228720057,1.708855279503041e-12,6.799319119039715e-14,-10.053096491487961,6.235012506294879e-13,6.202081628853796e-14,5.026548245744193,5.231370892033738e-13,1.0407481707677735e-13,17.303919066773883,1.5155302079961075e-07,8.758306227747072e-09,17.303919066773883,1.5155301724689707e-07,8.758306022434407e-09,1.369458263615516e-16,0.0,1.227101338881947e-13,1.3684724649764836e-16,1.2761361517018605e-16,7.005241674465208e-23,3.6391528681778544e-10
220,0.22,25.132741228720224,1.8758328224066645e-12,7.463701652500977e-14,-10.053096491488017,6.785683126508957e-13,6.749843823994729e-14,5.026548245744247,5.773159728050814e-13,1.1485336349729248e-13,17.303919094704305,1.7948344321894183e-07,1.03724158728612e-08,17.303919094704312,1.794834467716555e-07,1.037241607817386e-08,0.0,0.0,2.2762333855498224e-13,1.3546822780982614e-16,1.2840201774095363e-16,2.1441444308337554e-22,3.749614187497738e-10
240,0.24,25.132741228720395,2.0463630789890885e-12,8.142219984546521e-14,-10.053096491488073,7.354117315117037e-13,7.315275767366015e-14,5.026548245744304,6.341593916658894e-13,1.261620023647182e-13,17.303919123952273,2.0873141082233815e-07,1.2062666951053028e-08,17.303919123952276,2.0873141082233815e-07,1.2062666951053025e-08,2.763386570112363e-16,0.0,2.31335954426011e-13,1.3371248062700773e-16,1.5229977502813691e-16,6.452736281710639e-22,3.8633205197649175e-10
260,0.26,25.132741228720555,2.206235194535111e-12,8.778330920839217e-14,-10.053096491488128,7.904787935331115e-13,7.863037962506948e-14,5.026548245744363,6.927791673660977e-13,1.37824036196751e-13,17.303919154252,2.390311379940613e-07,1.3813699611352343e-08,17.303919154252004,2.390311379940613e-07,1.381369961135234e-08,4.1657690999024186e-16,0.0,2.307076569970579e-13,1.3308711017060277e-16,1.4450246013088187e-16,1.8299756123841047e-21,3.9845859666235575e-10
280,0.28,25.13274122872074,2.390976305832737e-12,9.513392447221889e-14,-10.053096491488189,8.5087492607272e-13,8.46380940233894e-14,5.02654824574442,7.505107646466058e-13,1.4930937254648023e-13,17.303919185347354,2.701264918414381e-07,1.5610711837295245e-08,17.303919185347358,2.701264918414381e-07,1.5610711837295242e-08,4.1879840807379535e-16,0.0,4.633397912876327e-13,1.2585649256518834e-16,1.351607361783574e-16,4.707770185302014e-21,4.121245027563343e-10
300,0.3,25.13274122872091,2.561506562415161e-12,1.0191910779267432e-13,-10.053096491488242,9.041656312547275e-13,8.993901849249521e-14,5.026548245744484,8.144596108650148e-13,1.6203159127233416e-13,17.303919216995283,3.0177442056356085e-07,1.7439657573644268e-08,17.303919216995283,3.0177441701084717e-07,1.74396573683316e-08,0.0,0.0,2.3150128146081585e-13,1.2246891459385806e-16,1.4836785374652995e-16,1.0813870415951644e-20,4.262912483420575e-10
320,0.32,25.132741228721073,2.7249313916399842e-12,1.0842157514144412e-13,-10.053096491488295,9.57456336436735e-13,9.523994296160101e-14,5.02654824574454,8.704148513061227e-13,1.7316353265745635e-13,17.303919248968526,3.33747664171824e-07,1.9287403379950524e-08,17.303919248968526,3.337476606191103e-07,1.9287403174637857e-08,1.412297371125593e-16,0.0,2.2762333855498224e-13,1.1420165191292078e-16,1.3670616497130623e-16,2.2393391131350793e-20,4.4137590364626665e-10
340,0.34,25.13274122872124,2.8919089345436078e-12,1.1506540047605673e-13,-10.05309649148835,1.0125233984581428e-12,1.0071756491301035e-13,5.026548245744602,9.316991622654314e-13,1.8535565893639972e-13,17.30391928105761,3.658367475622981e-07,2.1141843610957825e-08,17.303919281057613,3.658367475622981e-07,2.1141843610957822e-08,4.263535110226479e-16,0.0,2.2739233399347883e-13,1.3908264949863851e-16,1.2820904673092892e-16,4.294971028608209e-20,4.5794396181839283e-10
360,0.36,25.13274122872141,3.062439191126032e-12,1.2185058379651216e-13,-10.053096491488406,1.0675904604795505e-12,1.0619518686441968e-13,5.026548245744664,9.938716516444401e-13,1.977244826976466e-13,17.303919313072107,3.978512452817995e-07,2.299197350791085e-08,17.30391931307211,3.978512452817995e-07,2.2991973507910843e-08,4.2916041098817976e-16,0.0,4.687428401686771e-13,1.3043654802536902e-16,1.2416839830109786e-16,7.871504489491456e-20,4.752067010706392e-10
380,0.38,25.132741228721578,3.2294167340296553e-12,1.2849440913112476e-13,-10.053096491488454,1.1155520951433573e-12,1.1096601888661491e-13,5.026548245744728,1.0578204978628492e-12,2.1044670142350053e-13,17.30391934484129,4.296204281217797e-07,2.4827926565459858e-08,17.303919344841294,4.296204281217797e-07,2.4827926565459855e-08,2.8807162775200543e-16,0.0,9.141733599837057e-13,1.2659358070347588e-16,1.4863732552057247e-16,1.4063578068099214e-19,4.935788879575783e-10
400,0.4,25.132741228721756,3.4070524179696804e-12,1.3556230842326585e-13,-10.05309649148851,1.1723955140041653e-12,1.1662033832032778e-13,5.0265482457447925,1.1226575225009583e-12,2.23345617631658e-13,17.30391937621434,4.609934762811463e-07,2.6640986850420506e-08,17.303919376214346,4.6099347983385996e-07,2.6640987055733162e-08,4.3519217446317496e-16,0.0,1.7145294623352431e-13,1.2218182268707041e-16,1.4067112048717717e-16,2.451886029203359e-19,5.134988133639425e-10
