n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
1120,1.12,25.132741228727763,9.414691248821327e-12,3.7459866248347706e-13,-10.053096491489987,2.6485480475457734e-12,2.6345594611455864e-13,5.026548245747444,3.773870105305832e-12,7.507876023076858e-13,17.303919968950186,1.0537293242407486e-06,6.089541504461497e-08,17.30391996895019,1.0537293242407486e-06,6.089541504461496e-08,6.244226673781849e-16,0.0,1.1718571004216928e-13,1.2900412188549752e-16,1.307386004885436e-16,9.900929801090709e-17,3.5793523439161573e-09
1140,1.1400000000000001,25.13274122872793,9.581668791724951e-12,3.8124248781808964e-13,-10.053096491490018,2.680522470654978e-12,2.6663650079602216e-13,5.026548245747523,3.852917984659143e-12,7.665136782326997e-13,17.30391997422084,1.0589999774879288e-06,6.120000808350999e-08,17.30391997422084,1.0589999739352152e-06,6.120000787819732e-08,4.211126488490387e-16,0.0,2.2737367544323206e-13,1.3787100028956708e-16,1.4608667167599872e-16,9.471891607254401e-17,3.825619275218363e-09
1160,1.16,25.132741228728083,9.734435479913373e-12,3.87320881209331e-13,-10.053096491490047,2.708944180085382e-12,2.6946366051287855e-13,5.0265482457476,3.930189507173054e-12,7.818863591931065e-13,17.303919979184453,1.0639635910081324e-06,6.148685718078804e-08,17.303919979184457,1.0639635910081324e-06,6.148685718078802e-08,2.1300702789825714e-16,0.0,2.2914314707516465e-13,1.306862286601611e-16,1.4612208007458837e-16,9.011347020485935e-17,4.0909605411333955e-09
1180,1.18,25.132741228728257,9.908518450174597e-12,3.9424742251562926e-13,-10.053096491490082,2.744471316873387e-12,2.729976101589491e-13,5.026548245747681,4.0110137433657655e-12,7.979658300827275e-13,17.303919983857043,1.0686361804346234e-06,6.175688788593545e-08,17.303919983857043,1.0686361768819097e-06,6.175688768062278e-08,4.309861705348476e-16,0.0,1.1718571004216928e-13,1.180662129781284e-16,1.3575606489991591e-16,8.528386235143006e-17,4.376989281454103e-09
1200,1.2,25.132741228728406,1.0057732424684218e-11,4.0018445792102774e-13,-10.053096491490104,2.76578759894619e-12,2.7511797994659144e-13,5.02654824574776,4.090061622719077e-12,8.136919060077413e-13,17.303919988253696,1.0730328341423956e-06,6.201097216183348e-08,17.303919988253696,1.073032830589682e-06,6.201097195652081e-08,2.1801458855678674e-16,0.0,2.31335954426011e-13,1.3338859404690453e-16,1.4272627434812226e-16,8.027948388720058e-17,4.685203332151083e-09
1220,1.22,25.132741228728566,1.021760454023024e-11,4.0654556728395473e-13,-10.053096491490136,2.7977620220553945e-12,2.782985346280549e-13,5.0265482457478345,4.164668609973887e-12,8.285344945212377e-13,17.303919992388682,1.077167819829583e-06,6.224993454413812e-08,17.303919992388682,1.0771678162768694e-06,6.224993433882545e-08,2.2057163546327935e-16,0.0,1.1368683772161603e-13,1.332565228315153e-16,1.2183878849885424e-16,7.512994620413582e-17,5.017472335070663e-09
1240,1.24,25.132741228728726,1.0377476655776263e-11,4.1290667664688167e-13,-10.053096491490162,2.8244073746463982e-12,2.809489968626078e-13,5.026548245747916,4.246381024586299e-12,8.447906628931621e-13,17.303919996275436,1.0810545738593191e-06,6.247455152534214e-08,17.303919996275436,1.0810545703066055e-06,6.247455132002946e-08,3.3474649315042184e-16,0.0,1.156679772130055e-13,1.3378117669080291e-16,1.3235462727444754e-16,6.986679280294964e-17,5.3759206190519985e-09
1260,1.26,25.132741228728893,1.0544454198679887e-11,4.195505019814943e-13,-10.053096491490189,2.851052727237402e-12,2.8359945909716073e-13,5.026548245748001,4.330757974457811e-12,8.615769237119972e-13,17.303919999926638,1.0847057758667233e-06,6.268555586634102e-08,17.303919999926638,1.0847057723140097e-06,6.268555566102835e-08,2.257927757842327e-16,0.0,4.655004020764636e-13,1.2864035299840995e-16,1.2154027482385165e-16,6.453748921165163e-17,5.762556557249107e-09
1280,1.28,25.132741228729056,1.070787902790471e-11,4.260529693302641e-13,-10.053096491490216,2.8776980798284058e-12,2.862499213317136e-13,5.026548245748083,4.413358567489922e-12,8.780097895662252e-13,17.303920003354257,1.0881333949441796e-06,6.288363926549756e-08,17.303920003354257,1.088133391391466e-06,6.288363906018489e-08,0.0,0.0,2.2914314707516465e-13,1.2633167120126905e-16,1.299276231136407e-16,5.920878160573758e-17,6.179683377954387e-09
1300,1.3,25.132741228729206,1.0857093002414331e-11,4.319900047356626e-13,-10.053096491490244,2.9061197892588098e-12,2.8907708104857006e-13,5.026548245748162,4.4924064468432334e-12,8.937358654912391e-13,17.303920006569566,1.0913487038521907e-06,6.306945317989258e-08,17.30392000656957,1.0913487038521907e-06,6.306945317989256e-08,5.778934497841001e-16,0.0,2.3437142008433856e-13,1.5821496927710683e-16,1.3688585042152556e-16,5.396084390935377e-17,6.629739336529584e-09
1320,1.32,25.132741228729376,1.1027623258996755e-11,4.3877518805611803e-13,-10.05309649149027,2.9327651418498135e-12,2.9172754328312294e-13,5.026548245748242,4.572342504616245e-12,9.096386388985564e-13,17.303920009583262,1.0943623998116436e-06,6.32436158059554e-08,17.303920009583262,1.09436239625893e-06,6.324361560064272e-08,3.5084065498181447e-16,0.0,2.2914314707516465e-13,1.2726254179508406e-16,1.1309296315581196e-16,4.8876169597805496e-17,7.114903915425978e-09
1340,1.34,25.13274122872955,1.120170622925798e-11,4.457017293624163e-13,-10.053096491490304,2.9665159217984183e-12,2.9508479544688997e-13,5.026548245748323,4.653166740808956e-12,9.257181097881774e-13,17.303920012405392,1.097184529896822e-06,6.340670776789794e-08,17.303920012405392,1.0971845263441082e-06,6.340670756258527e-08,3.549995683230023e-16,0.0,2.382173337059642e-13,1.1466504277899092e-16,1.2612207608235092e-16,4.402773863997027e-17,7.638123562644406e-09
1360,1.36,25.13274122872971,1.1361578344804002e-11,4.5206283872534324e-13,-10.053096491490333,2.9949376312288223e-12,2.979119551637464e-13,5.026548245748401,4.731326441742567e-12,9.412674882308878e-13,17.30392001504547,1.0998246082749574e-06,6.355927889303268e-08,17.303920015045474,1.0998246082749574e-06,6.355927889303267e-08,5.986883244619039e-16,0.0,1.184367431450578e-13,1.4534709257423207e-16,1.1670017227639612e-16,3.94701569932237e-17,8.203794746607036e-09
1380,1.3800000000000001,25.132741228729877,1.1528555887707626e-11,4.587066640599559e-13,-10.053096491490361,3.0233593406592263e-12,3.007391148806028e-13,5.026548245748486,4.815703391614079e-12,9.580537490497228e-13,17.303920017512507,1.1022916446279396e-06,6.370184985427384e-08,17.303920017512507,1.102291641075226e-06,6.370184964896117e-08,0.0,0.0,2.2914314707516465e-13,1.4798900094422077e-16,1.0086093334780429e-16,3.5235758870533207e-17,8.816934880894392e-09
1400,1.4000000000000001,25.132741228730037,1.1688428003253648e-11,4.650677734228828e-13,-10.053096491490384,3.0464519795714295e-12,3.0303618215054867e-13,5.026548245748574,4.9045212335840915e-12,9.757234972800755e-13,17.303920019815006,1.1045941441523155e-06,6.383491217013749e-08,17.30392001981501,1.1045941441523155e-06,6.383491217013747e-08,3.678041406499688e-16,0.0,1.214175959108492e-13,1.0968362305930672e-16,1.0694039594001094e-16,3.133578630987291e-17,9.482093464239e-09
1420,1.42,25.132741228730204,1.1855405546157272e-11,4.717115987574955e-13,-10.053096491490413,3.0748736890018336e-12,3.058633418674051e-13,5.026548245748659,4.9888981834556034e-12,9.925097580989107e-13,17.303920021961044,1.106740182166277e-06,6.395893251630737e-08,17.303920021961044,1.1067401786135633e-06,6.39589323109947e-08,2.4812149578088843e-16,0.0,2.2914314707516465e-13,1.276328580234118e-16,1.22930684417828e-16,2.7765191213182434e-17,1.0200886285860087e-08
1440,1.44,25.13274122873037,1.2022383089060895e-11,4.783554240921081e-13,-10.053096491490434,3.0961899710746366e-12,3.0798371165504746e-13,5.026548245748742,5.072386954907415e-12,1.0091193214354421e-12,17.30392002395826,1.1087373970042336e-06,6.407435231500973e-08,17.30392002395826,1.1087373934515199e-06,6.407435210969705e-08,3.7661562577725123e-16,0.0,4.764346674119284e-13,1.2258069450184206e-16,1.1800586284701279e-16,2.4508916560978682e-17,1.0969759144800784e-08
1460,1.46,25.132741228730538,1.2189360631964519e-11,4.849992494267206e-13,-10.053096491490468,3.1299407510232413e-12,3.1134096381881444e-13,5.026548245748829,5.1594284400380275e-12,1.0264356747011878e-12,17.303920025813913,1.1105930504129446e-06,6.41815912253284e-08,17.303920025813913,1.110593046860231e-06,6.418159102001573e-08,1.2703482779370927e-16,0.0,2.2737367544323206e-13,1.1502642345609887e-16,1.096533790546031e-16,2.1547721819711528e-17,1.1783931087927527e-08
1480,1.48,25.132741228730705,1.2356338174868142e-11,4.916430747613333e-13,-10.053096491490495,3.156586103614245e-12,3.139914260533674e-13,5.026548245748915,5.2446935683292395e-12,1.0433986330023264e-12,17.303920027534875,1.112314013340665e-06,6.428104632195432e-08,17.303920027534875,1.1123140097879514e-06,6.428104611664165e-08,2.57099342842192e-16,0.0,8.526512829121202e-14,1.3681048952858179e-16,1.1651498843654127e-16,1.8862362617835635e-17,1.2647569602130775e-08
1500,1.5,25.132741228730872,1.2523315717771766e-11,4.982869000959459e-13,-10.053096491490516,3.177902385687048e-12,3.1611179584100967e-13,5.026548245748999,5.329070518200751e-12,1.0601848938211614e-12,17.30392002912768,1.11390681922785e-06,6.437309517487538e-08,17.303920029127685,1.11390681922785e-06,6.437309517487537e-08,6.504156955680404e-16,0.0,9.165725883006586e-13,1.4627203955190665e-16,1.3332696242934614e-16,1.6435754589706475e-17,1.3584298225186976e-08
1520,1.52,25.132741228731035,1.2686740546996589e-11,5.047893674447157e-13,-10.053096491490543,3.204547738278052e-12,3.187622580755626e-13,5.026548245749087,5.417000181751064e-12,1.0776779445692107e-12,17.30392003059857,1.1153777066397197e-06,6.44580983131284e-08,17.303920030598572,1.1153777066397197e-06,6.445809831312839e-08,2.632705949807471e-16,0.0,2.2737367544323206e-13,1.2827833625038382e-16,1.381193285348864e-16,1.4253389962499845e-17,1.4640982078308899e-08
1540,1.54,25.132741228731202,1.2853718089900212e-11,5.114331927793283e-13,-10.053096491490567,3.2294167340296553e-12,3.21236022827812e-13,5.026548245749171,5.501377131622576e-12,1.0944642053880457e-12,17.303920031953435,1.1167325730809807e-06,6.453639655573454e-08,17.303920031953435,1.116732569528267e-06,6.453639635042187e-08,5.328248537157456e-16,0.0,2.3437142008433856e-13,1.266618978870384e-16,1.2295601023409599e-16,1.2302594210705718e-17,1.587151658339202e-08
1560,1.56,25.13274122873137,1.3020695632803836e-11,5.180770181139409e-13,-10.053096491490589,3.2507330161024584e-12,3.2335639261545427e-13,5.026548245749258,5.588418616753188e-12,1.1117805586537912e-12,17.30392003319792,1.1179770567082414e-06,6.460831573389054e-08,17.303920033197922,1.1179770567082414e-06,6.460831573389053e-08,4.04387862059981e-16,0.0,2.2914314707516465e-13,1.3247234779137799e-16,1.0536892128294789e-16,1.0571248185934544e-17,1.7295549550035174e-08
1580,1.58,25.132741228731525,1.3177015034671058e-11,5.24296769491025e-13,-10.053096491490617,3.2791547255328624e-12,3.261835523323107e-13,5.026548245749341,5.6710192097853e-12,1.1282134245080192e-12,17.30392003433739,1.1191165292245842e-06,6.467416628034338e-08,17.303920034337395,1.1191165292245842e-06,6.467416628034336e-08,4.0921375959355245e-16,0.0,2.2914314707516465e-13,1.2933427823674668e-16,1.2438518770635964e-16,9.04651699724864e-18,1.885458410866931e-08
1600,1.6,25.132741228731692,1.3343992577574681e-11,5.309405948256376e-13,-10.05309649149064,3.3022473644450656e-12,3.284806196022566e-13,5.026548245749423,5.752731624397711e-12,1.1444695928799438e-12,17.303920035376976,1.1201561136431337e-06,6.473424425595357e-08,17.303920035376976,1.12015611009042e-06,6.47342440506409e-08,4.140965351377663e-16,0.0,4.687428401686771e-13,1.1417439368231274e-16,1.2256771340639322e-16,7.713982698209871e-18,2.039716508515018e-08
1620,1.62,25.13274122873186,1.3510970120478305e-11,5.375844201602503e-13,-10.053096491490669,3.3306690738754696e-12,3.3130777931911297e-13,5.026548245749505,5.835332217429823e-12,1.1609024587341716e-12,17.303920036321554,1.1211006913924848e-06,6.478883176032059e-08,17.303920036321557,1.1211006913924848e-06,6.478883176032058e-08,1.3967879710996641e-16,0.0,1.1737446702675253e-13,1.3256512320376053e-16,1.1646133181693846e-16,6.557401638380229e-18,2.1712781219393733e-08
1640,1.6400000000000001,25.13274122873202,1.3670842236024328e-11,5.439455295231772e-13,-10.053096491490694,3.355538069627073e-12,3.337815440713624e-13,5.0265482457495905,5.920597345721035e-12,1.1778654170353102e-12,17.3039200371758,1.1219549378438387e-06,6.483819898490938e-08,17.3039200371758,1.121954934291125e-06,6.48381987795967e-08,2.82689020770217e-16,0.0,2.3437142008433856e-13,1.196424044470472e-16,1.162885366594357e-16,5.559084501350658e-18,2.2627423632590053e-08
1660,1.6600000000000001,25.132741228732193,1.3844925206285552e-11,5.508720708294755e-13,-10.053096491490717,3.3786307085392764e-12,3.360786113413082e-13,5.026548245749679,6.009415187691047e-12,1.195535165265663e-12,17.303920037944174,1.1227233116528623e-06,6.488260359711244e-08,17.303920037944177,1.1227233116528623e-06,6.488260359711242e-08,4.290881579281832e-16,0.0,1.7061010432953777e-13,1.3439421663232033e-16,1.189583033083979e-16,4.700704618620711e-18,2.3167423406926378e-08
1680,1.68,25.132741228732357,1.4008350035510375e-11,5.573745381782453e-13,-10.05309649149074,3.4017233474514796e-12,3.3837567861125406e-13,5.026548245749759,6.0893512454640586e-12,1.2114379386729804e-12,17.303920038630928,1.1234100654178292e-06,6.49222913561878e-08,17.30392003863093,1.1234100654178292e-06,6.492229135618778e-08,4.342004752899803e-16,0.0,2.2914314707516465e-13,1.1401815510281179e-16,1.1646911758797489e-16,3.964270714768409e-18,2.3777804811716282e-08
1700,1.7,25.132741228732513,1.4164669437377597e-11,5.635942895553294e-13,-10.05309649149076,3.4212632726848824e-12,3.4031935091659285e-13,5.026548245749845,6.175504552174971e-12,1.2285775944564226e-12,17.30392003924014,1.1240192776540425e-06,6.495749796107297e-08,17.30392003924014,1.1240192741013288e-06,6.49574977557603e-08,4.3937068722455837e-16,0.0,1.1368683772161603e-13,1.3859795829202076e-16,1.2436330317911427e-16,3.3330463092298874e-18,2.545733424613531e-08
1720,1.72,25.132741228732687,1.4338752407638822e-11,5.705208308616276e-13,-10.053096491490782,3.4443559115970857e-12,3.426164181865387e-13,5.026548245749934,6.264322394144983e-12,1.2462473426867752e-12,17.30392003977573,1.12455486700469e-06,6.498844987163564e-08,17.30392003977573,1.1245548634519764e-06,6.498844966632297e-08,2.9639933205862273e-16,0.0,1.214175959108492e-13,1.2179879372549181e-16,1.2480276174752853e-16,2.792258038791992e-18,2.9399348367607517e-08
1740,1.74,25.13274122873285,1.4502177236863645e-11,5.770232982103975e-13,-10.053096491490809,3.4710012641880894e-12,3.4526688042109164e-13,5.026548245750022,6.352252057695296e-12,1.2637403934348244e-12,17.303920040241415,1.1250205531609936e-06,6.501536205023431e-08,17.303920040241415,1.12502054960828e-06,6.501536184492164e-08,4.498856126516202e-16,0.0,1.7067822212573437e-13,1.5511092364939477e-16,1.62289017722576e-16,2.3294744716806388e-18,3.6096750085372764e-08
1760,1.76,25.132741228733025,1.467626020712487e-11,5.839498395166958e-13,-10.053096491490832,3.4940939031002927e-12,3.475639476910375e-13,5.026548245750108,6.438405364406208e-12,1.2808800492182666e-12,17.30392004064077,1.1254199066002002e-06,6.503844083609567e-08,17.303920040640772,1.1254199066002002e-06,6.503844083609566e-08,3.034871574387396e-16,0.0,2.278173318171838e-13,1.2002153079844995e-16,1.2321615027754997e-16,1.934581023096106e-18,4.494746252651749e-08
1780,1.78,25.13274122873319,1.4843237750028493e-11,5.905936648513084e-13,-10.053096491490853,3.5154101851730957e-12,3.496843174786798e-13,5.026548245750191,6.5210059574383195e-12,1.2973129150724945e-12,17.303920040977225,1.1257563627964373e-06,6.505788476656515e-08,17.303920040977225,1.1257563592437236e-06,6.505788456125248e-08,1.5354485812910024e-16,0.0,1.202161876938748e-13,1.2121969809001622e-16,1.3329963493361428e-16,1.599374815401088e-18,5.462538411934177e-08
1800,1.8,25.13274122873335,1.5003109865574515e-11,5.969547742142353e-13,-10.053096491490876,3.538502824085299e-12,3.5198138474862565e-13,5.0265482457502735,6.603606550470431e-12,1.3137457809267225e-12,17.30392004125405,1.1260331866935758e-06,6.507388252398038e-08,17.303920041254052,1.1260331866935758e-06,6.507388252398036e-08,1.5536577791090642e-16,0.0,1.1368683772161603e-13,1.4888358959616505e-16,1.2648826640725553e-16,1.3169289662956018e-18,6.343580136252308e-08
1820,1.82,25.13274122873351,1.5162981981120538e-11,6.033158835771623e-13,-10.053096491490896,3.5580427493187017e-12,3.5392505705396443e-13,5.02654824575036,6.689759857181343e-12,1.3308854367101647e-12,17.3039200414744,1.126253536654076e-06,6.508661663129907e-08,17.3039200414744,1.1262535331013623e-06,6.508661642598638e-08,4.716192212864662e-16,0.0,2.3437142008433856e-13,1.3062366427095097e-16,1.4650142752404976e-16,1.0809562224660273e-18,6.946357675226608e-08
1840,1.84,25.13274122873368,1.532995952402416e-11,6.099597089117749e-13,-10.053096491490923,3.5846881019097054e-12,3.5657551928851737e-13,5.026548245750449,6.779465877571056e-12,1.3487318824228209e-12,17.303920041641277,1.1264204147209966e-06,6.509626057772174e-08,17.30392004164128,1.1264204147209966e-06,6.509626057772173e-08,4.772004449319102e-16,0.0,2.2737367544323206e-13,1.2360565905811481e-16,1.3627310668700422e-16,8.853793368093931e-19,7.069694175764969e-08
1860,1.86,25.132741228733856,1.5507595207964187e-11,6.17027608203916e-13,-10.053096491490948,3.609557097661309e-12,3.5904928404076674e-13,5.026548245750536,6.866507362701668e-12,1.3660482356885664e-12,17.30392004175757,1.1265367092505585e-06,6.510298128244369e-08,17.30392004175757,1.1265367056978448e-06,6.510298107713101e-08,3.21894142295469e-16,0.0,2.428351918216984e-13,1.1620254310206915e-16,1.2535620346460755e-16,7.242072883269683e-19,7.074545117941883e-08
1880,1.8800000000000001,25.132741228734023,1.567457275086781e-11,6.236714335385286e-13,-10.053096491490969,3.630873379734112e-12,3.6116965382840903e-13,5.026548245750625,6.955325204671681e-12,1.3837179839189192e-12,17.303920041826043,1.12660518070129e-06,6.510693827340436e-08,17.303920041826043,1.1266051771485763e-06,6.510693806809167e-08,3.2569449106051803e-16,0.0,2.2914314707516465e-13,1.3925449632333658e-16,1.213434370314323e-16,5.916823825511792e-19,9.681474637777488e-08
1900,1.9000000000000001,25.13274122873419,1.5841550293771434e-11,6.303152588731412e-13,-10.053096491490988,3.650413304967515e-12,3.631133261337478e-13,5.026548245750713,7.043254868221993e-12,1.4012110346669682e-12,17.303920041849334,1.1266284722921682e-06,6.510828430322525e-08,17.303920041849334,1.1266284687394545e-06,6.510828409791258e-08,0.0,0.0,1.214175959108492e-13,1.2664033380782948e-16,1.0763496775555757e-16,4.825664694514137e-19,1.2619568913338944e-07
1920,1.92,25.13274122873435,1.6001422409317456e-11,6.366763682360682e-13,-10.053096491491011,3.673505943879718e-12,3.654103934036937e-13,5.026548245750799,7.129408174932905e-12,1.4183506904504104e-12,17.303920041829993,1.1266091313189008e-06,6.5107166581086e-08,17.303920041829993,1.1266091277661872e-06,6.510716637577331e-08,0.0,0.0,1.156679772130055e-13,1.2265947099931236e-16,1.114981511583768e-16,3.9241183065226455e-19,1.589249750544767e-07
1940,1.94,25.132741228734524,1.617550537957868e-11,6.436029095423664e-13,-10.053096491491035,3.696598582791921e-12,3.6770746067363954e-13,5.02654824575089,7.220002373742318e-12,1.4363738336453701e-12,17.303920041770443,1.1265495807322168e-06,6.5103725130223e-08,17.303920041770443,1.126549577179503e-06,6.510372492491031e-08,3.3733596590338257e-16,0.0,2.2737367544323206e-13,1.2275825810145688e-16,1.1449174622450753e-16,3.1769872312023713e-19,1.9575704270826398e-07
1960,1.96,25.1327412287347,1.6353141063518706e-11,6.506708088345075e-13,-10.053096491491058,3.7196912217041245e-12,3.700045279435854e-13,5.026548245750979,7.30882021571233e-12,1.454043581875723e-12,17.30392004167301,1.1264521475595757e-06,6.509809443043074e-08,17.30392004167301,1.126452144006862e-06,6.509809422511807e-08,3.4129707476118116e-16,0.0,2.2737367544323206e-13,1.5068929183688137e-16,1.3011162361893422e-16,2.5579539925539164e-19,2.385792670292041e-07
1980,1.98,25.13274122873486,1.6513013179064728e-11,6.570319181974344e-13,-10.053096491491077,3.739231146937527e-12,3.719482002489242e-13,5.026548245751066,7.395861700842943e-12,1.4713599351414684e-12,17.303920041539925,1.1263190629051678e-06,6.509040341806181e-08,17.303920041539925,1.1263190593524541e-06,6.509040321274913e-08,5.179480978792028e-16,0.0,2.2914314707516465e-13,1.359612785531159e-16,1.5332200581208066e-16,2.0476922791579363e-19,2.906968552750681e-07
2000,2.0,25.132741228735036,1.6687096149325953e-11,6.639584595037328e-13,-10.0530964914911,3.7623237858497305e-12,3.7424526751887004e-13,5.02654824575116,7.490008613331156e-12,1.4900898682656424e-12,17.303920041373324,1.1261524619499141e-06,6.508077548602689e-08,17.303920041373328,1.1261524619499141e-06,6.508077548602687e-08,5.240116242754412e-16,0.0,2.2914314707516465e-13,1.3002309209903667e-16,1.4863687797354468e-16,1.6312839523772372e-19,3.5676249075369866e-07
