invariant,initial_value,max_absolute_drift,max_relative_drift
Mass,25.13274122871835,1.6687096149325953e-11,6.639584595037328e-13
Momentum x,-10.053096491487338,3.7623237858497305e-12,3.7424526751887004e-13
Momentum y,5.02654824574367,7.490008613331156e-12,1.4900898682656424e-12
Reduced energy,17.303918915220862,1.1266284722921682e-06,6.510828430322525e-08
Long-wave quadratic energy,17.303918915220866,1.1266284687394545e-06,6.510828409791258e-08
